                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.82257,                0.40338,                0.81916,                 0.9842,                      1,                0.99491,                0.70731,                      0,                    inf,                      0,              0.0089704,              0.0089704,              0.0089704
                    106,                0.82786,                 0.4024,                0.81449,                0.99597,                0.99091,                0.99497,                0.66551,                      0,                    inf,                      0,              0.0089605,              0.0089605,              0.0089605
                    107,                0.80599,                0.39091,                0.81419,                0.99693,                0.98342,                0.99467,                  0.706,                      0,                    inf,                      0,              0.0089506,              0.0089506,              0.0089506
                    108,                0.81325,                0.39021,                0.81063,                0.98979,                0.99091,                0.99488,                0.68285,                      0,                    inf,                      0,              0.0089407,              0.0089407,              0.0089407
                    109,                0.82407,                0.39613,                0.81939,                      1,                 0.9836,                0.99479,                0.71553,                      0,                    inf,                      0,              0.0089308,              0.0089308,              0.0089308
                    110,                0.80308,                0.39816,                 0.8135,                0.99386,                0.99394,                0.99497,                0.69911,                      0,                    inf,                      0,              0.0089209,              0.0089209,              0.0089209
                    111,                0.80222,                0.39086,                0.82049,                 0.9877,                0.97305,                0.99389,                0.68117,                      0,                    inf,                      0,               0.008911,               0.008911,               0.008911
                    112,                0.82174,                0.39952,                0.81471,                0.98176,                0.97866,                0.99367,                0.65895,                      0,                    inf,                      0,              0.0089011,              0.0089011,              0.0089011
                    113,                0.82282,                0.39497,                0.81849,                 0.9816,                0.97022,                 0.9932,                0.68982,                      0,                    inf,                      0,              0.0088912,              0.0088912,              0.0088912
                    114,                0.80961,                0.39314,                0.81982,                0.99363,                0.94467,                0.98797,                0.67409,                      0,                    inf,                      0,              0.0088813,              0.0088813,              0.0088813
                    115,                0.82444,                0.40144,                0.81659,                0.98533,                0.94848,                0.98553,                0.68751,                      0,                    inf,                      0,              0.0088714,              0.0088714,              0.0088714
                    116,                0.81925,                0.39327,                0.81697,                0.98485,                0.98476,                0.99427,                0.67768,                      0,                    inf,                      0,              0.0088615,              0.0088615,              0.0088615
                    117,                0.81736,                0.38904,                0.81605,                0.99307,                0.99697,                0.99491,                0.70128,                      0,                    inf,                      0,              0.0088516,              0.0088516,              0.0088516
                    118,                0.81276,                0.39194,                0.81581,                0.99394,                0.99462,                  0.995,                0.70164,                      0,                    inf,                      0,              0.0088417,              0.0088417,              0.0088417
                    119,                0.80645,                0.39515,                0.81969,                      1,                0.99639,                  0.995,                0.66797,                      0,                    inf,                      0,              0.0088318,              0.0088318,              0.0088318
                    120,                0.80374,                0.39029,                0.80954,                0.99687,                0.96399,                0.99411,                0.69941,                      0,                    inf,                      0,              0.0088219,              0.0088219,              0.0088219
                    121,                0.81174,                0.39274,                 0.8175,                0.99281,                0.97879,                0.99464,                0.69715,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                    122,                0.80223,                0.38443,                0.81401,                0.99996,                0.99697,                  0.995,                0.68326,                      0,                    inf,                      0,              0.0088021,              0.0088021,              0.0088021
                    123,                0.79743,                0.38885,                0.81907,                 0.9959,                0.98182,                0.99479,                0.66008,                      0,                    inf,                      0,              0.0087922,              0.0087922,              0.0087922
                    124,                0.80668,                0.39445,                0.81581,                0.99948,                0.99394,                  0.995,                0.70159,                      0,                    inf,                      0,              0.0087823,              0.0087823,              0.0087823
                    125,                0.80449,                 0.3965,                0.81264,                      1,                0.99024,                  0.995,                0.68329,                      0,                    inf,                      0,              0.0087724,              0.0087724,              0.0087724
                    126,                0.79457,                0.38545,                0.81496,                0.99688,                0.96974,                0.99449,                0.69631,                      0,                    inf,                      0,              0.0087625,              0.0087625,              0.0087625
                    127,                0.79457,                0.38958,                0.82085,                0.98477,                0.97981,                0.99401,                0.71327,                      0,                    inf,                      0,              0.0087526,              0.0087526,              0.0087526
                    128,                0.80291,                0.38985,                0.81191,                      1,                0.98973,                  0.995,                0.69469,                      0,                    inf,                      0,              0.0087427,              0.0087427,              0.0087427
                    129,                0.78601,                0.38595,                0.80754,                0.99696,                0.99345,                  0.995,                0.72773,                      0,                    inf,                      0,              0.0087328,              0.0087328,              0.0087328
                    130,                0.80418,                0.38773,                0.81546,                0.98467,                0.97304,                0.99359,                 0.6959,                      0,                    inf,                      0,              0.0087229,              0.0087229,              0.0087229
                    131,                0.80082,                0.38901,                0.81546,                0.99658,                0.99394,                0.99491,                0.71678,                      0,                    inf,                      0,               0.008713,               0.008713,               0.008713
                    132,                0.80046,                0.38738,                0.81359,                0.99396,                0.99688,                  0.995,                0.69616,                      0,                    inf,                      0,              0.0087031,              0.0087031,              0.0087031
